Event Index,Fréquence coin,Slope basse frequence,Intercept basse frequence,First PSD basse frequence,PSD requence coin,Slope haute frequence,Intercept haute frequence,Last PSD haute frequence,numero1
0,1.2000000000000002,-1.1306379204585373,-27.67558437277206,1.1453976558095344e-12,1.991938507510003e-12,-6.884405511377464,-26.547071193238704,6.89622719710222e-19,0
1,1.2000000000000002,-3.3171824396135663,-38.924860833683226,4.5913797233986486e-17,1.1376868161580956e-18,-4.651826940922981,-38.31114389700015,2.3444849988171816e-22,1
10,1.55,-3.2180660321381205,-34.81362834868765,3.734171240827717e-15,5.791411938759932e-17,-5.277869916750253,-31.852358261814764,1.6383366301018642e-20,10
11,2.010376134889753,0.9036092015537672,-33.30219863143062,1.4297764785268265e-15,5.3958686054269605e-14,-6.066409134377606,-27.01118480901731,1.5110749471810113e-20,11
2,1.5,-2.2398242092100467,-35.22987684336213,2.8357869125902225e-15,2.418468660137238e-15,-5.302420881533621,-32.66821695317603,8.146082624153684e-20,2
21,1.5,-2.1682394187186955,-32.94307154805537,2.974434904836108e-14,2.085300654108833e-15,-4.875254670946597,-31.39114449403508,1.490683609302979e-19,21
22,1.05,0.7169438065223925,-27.208651775652697,4.872841752312459e-13,6.300357532999587e-13,-4.944716096115058,-27.452558755071102,4.261771219659064e-18,22
23,1.1,-4.507506892467543,-35.378692953597884,3.510016033790431e-15,1.7205349477738872e-16,-6.2393952943385695,-35.69142641148395,4.831647796424311e-22,23
24,1.2000000000000002,-5.450660411666023,-32.37723587031343,9.254231498981251e-14,1.362839713320347e-15,-4.92453713112377,-33.5853936455971,6.442735203215635e-20,24
26,1.05,2.5602962079278995,-38.731730475826126,8.838438378947813e-18,1.1450959926641462e-17,-3.0289575732487592,-41.086029224690485,1.2701505583002605e-21,26
27,1.25,-2.2248007057571404,-31.46510662111176,7.90918259553667e-14,4.9937039894665015e-14,-5.471274717819213,-31.4907961941108,1.482066520409212e-19,27
28,1.15,-2.0572591494572854,-32.44229791463832,6.672147200240633e-14,1.6860626107951116e-14,-5.378851556855939,-33.18070167230052,2.858498552910809e-20,28
3,1.05,-1.7097677437991536,-35.329082900479975,1.4518397509517774e-15,1.8938663898626076e-16,-5.616420743146785,-34.73794270725095,2.1031550852063025e-21,3
32,1.05,3.041939647635546,-31.05690908751319,2.1356270294291865e-14,3.565698199674701e-14,-3.520726770418541,-33.48282880777225,2.1366951505254936e-19,32
33,2.15,0.7609532583053413,-39.00535519053496,1.9484177181390933e-17,1.0407173776400334e-16,-5.282995266917188,-34.97961376704023,1.3893088716650366e-21,33
36,1.05,-3.2540414748970363,-21.07932757521184,2.1394608886001366e-09,8.626153445738951e-10,-6.452496080924056,-19.81189434860509,1.589493365256958e-15,36
37,1.1,-0.9539295437068216,-28.881649673473213,2.9357088920883725e-13,4.671722954178712e-14,-6.630867649713445,-29.4751463174479,1.5063436906451472e-20,37
38,1.1,-3.0974582934770702,-35.51697857389873,3.499783534242755e-15,7.840033341007573e-16,-5.824272070373771,-32.34338356130801,5.087534506142252e-21,38
39,1.1,-1.574672317194082,-31.93525732424593,6.648183160273045e-14,1.3297470384448362e-14,-5.454896502223512,-30.96714119386988,6.353812883987538e-20,39
40,1.15,1.1786761562508177,-32.998702684137136,2.56820644458792e-15,9.849567409117475e-15,-6.140646933829667,-31.75796298881263,3.6095300603083655e-20,40
41,1.25,-2.667096672777881,-30.767177989260457,4.22819463995109e-14,7.901952583884119e-14,-7.413290085506803,-27.950060433825023,4.772297707185819e-20,41
42,1.1,-4.426695699328968,-32.44634806636132,1.4693313843025808e-13,5.5262492878187455e-15,-4.553720248859566,-31.18527481221557,7.499865432059242e-19,42
43,1.05,-4.896479985362295,-36.59445399206209,2.1412933935000184e-15,7.365904453201741e-17,-3.1153392336598054,-37.848852432873066,6.138121431497251e-20,43
44,1.25,1.647893037917779,-36.92606250438461,4.980996212065677e-17,7.302484844774628e-16,-5.780095113196044,-34.6440331194147,3.1903462678569278e-21,44
46,1.1,-2.8858662896592904,-31.749436185076902,2.0667093823650973e-14,2.3930670809727363e-14,-4.724609745182686,-31.180717384120012,6.268856557003213e-19,46
47,1.2000000000000002,-5.136575615722394,-38.21992362967714,3.0338426486719185e-16,3.909180631150675e-17,-4.121049141015893,-36.74892771302751,1.4327902709495773e-21,47
48,1.1,-1.8919944071993056,-35.63438459324098,7.534788748040219e-16,2.26616326816161e-16,-2.900819955739565,-37.25697529403483,1.5274294340062432e-19,48
49,1.65,-3.810562636878767,-34.6987351906464,2.307116570268383e-15,6.044108511934955e-16,-5.61233486606326,-33.16651914777348,1.1623377789240363e-20,49
5,1.05,-5.322399328365503,-34.601972714680976,3.928696636719032e-15,3.1730807876773653e-16,-3.0839779678564865,-36.46058547006948,1.3137162177059731e-19,5
50,1.7000000000000002,-2.1553919785976663,-29.910980819747785,1.157552509110239e-13,1.676890181739319e-13,-5.341788803182811,-26.638315731941304,4.258772318884248e-18,50
53,1.1,1.563724642981929,-31.27226912741313,9.1325979173929e-15,7.41567616903238e-15,-6.529312618048188,-31.140280757690626,2.5489705787852388e-20,53
57,1.05,-4.018466222011516,-32.77042029788387,2.8363323426329542e-14,1.1397653618524251e-14,-4.063950754962756,-33.51227440214263,2.5588797249529854e-19,57
6,1.15,1.4108302301279825,-33.38708223041649,3.1269129975622786e-15,1.8378259302753308e-14,-5.383090224366088,-32.8683763052885,3.57912660322708e-20,6
60,1.05,-2.650729966003557,-31.45409830048936,1.7257348302657517e-13,3.8928959941117095e-14,-4.167914630413557,-30.727414241056955,6.602579577752081e-17,60
62,1.05,-2.112391009130934,-27.55708984226949,2.0594660291821303e-12,1.804978032230535e-13,-4.417116841066735,-28.22566900257693,2.0457526896933796e-17,62
67,1.15,-3.988886327663772,-28.09320611003744,7.651360401898823e-12,1.127060039379272e-13,-4.937105812515587,-27.45526927866822,2.132818124304107e-17,67
72,1.15,-5.648771950435067,-32.461941316836985,7.335882060819029e-13,4.978103757175393e-15,-4.506567616452314,-33.58250674302039,4.0056342838401483e-20,72
78,1.05,2.572239935461517,-31.66645735388629,1.3281458327008758e-14,1.9729166809877545e-14,-4.255899611458836,-32.55259729713286,8.653987531974753e-19,78
8,1.1,-0.5794680669421558,-31.960056445193747,1.2998273864047464e-14,2.59389528455048e-15,-4.971442607575075,-32.760539692329104,1.3258607511922038e-19,8
80,1.15,-1.4009928328623655,-33.88191090821608,8.048206762799032e-16,2.5106235617378897e-15,-4.863002730885781,-33.59433534947322,1.506576808693357e-20,80
81,1.9,-4.563983919317293,-33.55309941673923,6.656508285471852e-14,2.094300888527085e-15,-4.539461074624493,-31.92957680408232,1.2814282697777741e-19,81
85,1.6,-0.1454301721404225,-31.101241319616783,1.4014136764257184e-14,1.1489911130073708e-14,-6.165868639058713,-27.90173274491885,1.2750356111546494e-18,85
87,1.25,1.2358310495617149,-29.996154075037364,6.926465775641781e-14,3.736407847508524e-13,-5.470776489093708,-28.154455963351552,1.1548199643668781e-18,87
9,2.6,-0.2451529817557657,-34.14443082080808,9.99002368458137e-16,7.898023924609223e-15,-5.364590706178681,-28.54446791823664,1.1190580994570748e-18,9
